,Happiness,spent_on_MATA,spent_on_Bills,spent_on_TSA,spent_on_EXPA
288,7.0,90.0,350.0,0.0,50.0
289,9.0,0.0,750.0,30.0,70.0
290,7.0,150.0,90.0,0.0,150.0
291,8.0,70.0,750.0,0.0,350.0
292,8.0,90.0,550.0,50.0,70.0
293,5.0,250.0,650.0,0.0,450.0
294,10.0,250.0,650.0,0.0,90.0
295,8.0,0.0,750.0,150.0,90.0
296,1.0,30.0,150.0,0.0,0.0
297,6.0,0.0,350.0,0.0,250.0
298,7.0,30.0,550.0,0.0,0.0
299,6.0,70.0,350.0,150.0,350.0
300,7.0,650.0,150.0,70.0,90.0
301,10.0,90.0,850.0,850.0,150.0
302,6.0,50.0,650.0,50.0,70.0
303,7.0,0.0,550.0,0.0,0.0
304,6.0,0.0,650.0,0.0,0.0
305,9.0,70.0,250.0,90.0,350.0
306,8.0,50.0,550.0,30.0,250.0
307,10.0,250.0,1000.0,150.0,550.0
308,8.0,650.0,1000.0,250.0,550.0
309,10.0,450.0,1000.0,350.0,450.0
310,7.0,50.0,150.0,0.0,50.0
311,5.0,50.0,550.0,70.0,0.0
312,5.0,350.0,750.0,250.0,0.0
313,8.0,450.0,550.0,0.0,150.0
314,8.0,70.0,550.0,90.0,150.0
315,6.0,70.0,70.0,70.0,150.0
316,10.0,,1000.0,1000.0,
317,7.0,90.0,30.0,0.0,0.0
318,6.0,150.0,150.0,0.0,90.0
319,10.0,30.0,10.0,10.0,30.0
320,8.0,90.0,650.0,0.0,50.0
321,6.0,70.0,650.0,250.0,0.0
322,10.0,850.0,1000.0,1000.0,1000.0
323,6.0,150.0,450.0,50.0,90.0
324,8.0,250.0,1000.0,0.0,550.0
325,6.0,150.0,90.0,0.0,250.0
326,9.0,350.0,550.0,70.0,250.0
327,9.0,0.0,1000.0,150.0,350.0
328,5.0,50.0,550.0,90.0,90.0
329,4.0,0.0,350.0,0.0,70.0
330,9.0,1000.0,550.0,550.0,1000.0
331,5.0,70.0,950.0,50.0,0.0
332,3.0,850.0,30.0,0.0,0.0
333,10.0,250.0,550.0,50.0,250.0
334,8.0,150.0,550.0,0.0,0.0
335,5.0,90.0,750.0,150.0,90.0
336,9.0,1000.0,90.0,150.0,0.0
337,8.0,250.0,550.0,150.0,250.0
338,7.0,250.0,650.0,150.0,350.0
339,8.0,550.0,650.0,350.0,550.0
340,6.0,0.0,350.0,0.0,0.0
341,6.0,250.0,1000.0,50.0,250.0
342,9.0,50.0,250.0,0.0,90.0
343,7.0,250.0,550.0,30.0,250.0
344,10.0,1000.0,750.0,650.0,0.0
345,7.0,0.0,90.0,0.0,0.0
346,6.0,350.0,1000.0,0.0,70.0
347,6.0,50.0,550.0,50.0,250.0
348,4.0,70.0,550.0,0.0,250.0
349,8.0,250.0,550.0,150.0,70.0
350,10.0,90.0,550.0,90.0,250.0
351,7.0,0.0,550.0,0.0,0.0
352,6.0,0.0,90.0,0.0,0.0
353,10.0,250.0,750.0,90.0,250.0
354,10.0,250.0,550.0,150.0,250.0
355,8.0,150.0,150.0,0.0,70.0
356,4.0,70.0,550.0,0.0,250.0
357,6.0,30.0,650.0,50.0,50.0
358,4.0,250.0,550.0,0.0,90.0
359,3.0,50.0,90.0,0.0,0.0
360,8.0,950.0,650.0,0.0,1000.0
361,6.0,350.0,650.0,90.0,50.0
362,10.0,1000.0,950.0,1000.0,1000.0
363,10.0,150.0,550.0,90.0,90.0
364,8.0,150.0,550.0,150.0,150.0
